Signal,Return coef,Return p,Return adj. R2,Return N,Volatility coef,Volatility p,Volatility adj. R2,Volatility N
hydrometeorological_events,-0.01388309004496373,0.09292418313507127,0.6515751832146819,35,-0.002510822037394965,0.1765548719401625,0.9314477456909133,30
geophysical_events,0.004330925077864851,0.5915335239282913,0.634146807655394,35,0.0019443867873664632,0.23957171131700805,0.9299981775536424,30
total_events,-0.0011690630671803192,0.881171466740176,0.6324994436526246,35,-0.002270460120431343,0.11990860129651953,0.9307890898484561,30
disaster_pressure,-0.003425590902079878,0.5890982034421357,0.6334452508409453,35,-0.0016444719658757975,0.32479796041426445,0.9293880131206991,30
