Model,Break date,Segment before,Segment after,BIC,World beta before,World beta after,Decision
No-break benchmark,,52,0,-264.4746575145838,0.7957009138069701,,Retained by BIC
Best one-break candidate,2024-05,32,20,-258.1409606621172,1.125662301069029,0.5883928212742763,Not retained by BIC
