Variable,N,Mean,SD,Min,Max
colombia_cocoa_price_cop_kg,53,17334.748640292742,9168.366460639196,7926.075,34395.325
world_cocoa_price_usd_mt,53,4943.435094339623,2660.6121691131843,2239.13,10745.11
eu_hicp_chocolate_index,53,128.82867924528298,19.72674034807886,104.25,164.99
cop_usd_exchange_rate,53,4147.159954759556,302.3324204603234,3773.384193548387,4926.660666666667
brent_oil_usd_bbl,53,82.6133962264151,13.410039428525215,62.54,122.71
nasa_precipitation_mm_day,53,5.7256603773584915,3.5938620267135604,0.03,14.67
nasa_surface_solar_radiation_mj_m2_day,53,18.246924603780446,1.1746265267246778,15.68,20.62
nasa_temperature_max_c,53,31.930377358490563,3.042054570304135,28.67,39.15
