download_date,location_id,location_name,department,frequency,request_start,request_end,parameter_count,parameters,community,raw_json_file,harmonized_long_file,harmonized_wide_file,long_rows,wide_rows,source_url
2026-03-25,san_vicente_de_chucuri,San Vicente de Chucuri,Santander,monthly,2000,2025,7,"PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN",AG,2026-03-25_san_vicente_de_chucuri_monthly_nasa_power_raw.json,2026-03-25_san_vicente_de_chucuri_monthly_nasa_power_long.csv,2026-03-25_san_vicente_de_chucuri_monthly_nasa_power_wide.csv,2184,312,https://power.larc.nasa.gov/api/temporal/monthly/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CT2M_MIN%2CRH2M%2CWS2M%2CALLSKY_SFC_SW_DWN&community=AG&longitude=-73.5207543&latitude=6.9287793&format=JSON&start=2000&end=2025
2026-03-25,san_vicente_de_chucuri,San Vicente de Chucuri,Santander,daily,20000101,20260324,7,"PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN",AG,2026-03-25_san_vicente_de_chucuri_daily_nasa_power_raw.json,2026-03-25_san_vicente_de_chucuri_daily_nasa_power_long.csv,2026-03-25_san_vicente_de_chucuri_daily_nasa_power_wide.csv,67060,9578,https://power.larc.nasa.gov/api/temporal/daily/point?parameters=PRECTOTCORR%2CT2M%2CT2M_MAX%2CT2M_MIN%2CRH2M%2CWS2M%2CALLSKY_SFC_SW_DWN&community=AG&longitude=-73.5207543&latitude=6.9287793&format=JSON&start=20000101&end=20260324
