download_date,source_institution,source_dataset,symbol,frequency,request_start,request_end,raw_file,harmonized_file,rows,source_url
2026-03-25,Yahoo Finance,ICE cocoa futures continuous contract,CC=F,daily,2000-01-01,2026-03-25,2026-03-25_yahoo_finance_CC_F_daily_raw.json,2026-03-25_yahoo_finance_CC_F_daily.csv,6672,https://query1.finance.yahoo.com/v8/finance/chart/CC=F?period1=946684800&period2=1774483200&interval=1d&includeAdjustedClose=true&events=history
2026-03-25,Yahoo Finance,ICE cocoa futures continuous contract,CC=F,monthly,2000-01-01,2026-03-25,2026-03-25_yahoo_finance_CC_F_monthly_raw.json,2026-03-25_yahoo_finance_CC_F_monthly.csv,270,https://query1.finance.yahoo.com/v8/finance/chart/CC=F?period1=946684800&period2=1774483200&interval=1mo&includeAdjustedClose=true&events=history
2026-03-25,World Bank Prospects Group,Commodities Price Data (The Pink Sheet),,monthly,1960-01-01,2026-02-01,2026-03-25_world_bank_pink_sheet_monthly_raw.xlsx,2026-03-25_world_bank_cocoa_monthly.csv,794,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx
