download_date,source_institution,source_dataset,frequency,request_start,request_end,raw_html_file,raw_csv_file,raw_json_file,harmonized_file,rows,source_url
2026-03-25,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,weekly,2021-08-23,2026-03-29,2026-03-25_agronet_cacao_weekly_raw.html,2026-03-25_agronet_cacao_weekly_raw.csv,2026-03-25_agronet_cacao_weekly_raw.json,2026-03-25_agronet_cacao_weekly.csv,230,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2026-03-25,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,monthly,2021-08-01,2026-03-01,2026-03-25_agronet_cacao_weekly_raw.html,2026-03-25_agronet_cacao_monthly_raw.csv,2026-03-25_agronet_cacao_monthly_raw.json,2026-03-25_agronet_cacao_monthly.csv,55,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
