comparison,before_value,after_value,statistic,p_value
Mean shift (Welch t-test),0.0016569065066434324,0.04783226198006851,-2.3780873817418686,0.042868554915626335
Variance shift (Levene test),0.0016036414452506973,0.0006584811007310272,1.3380270226632962,0.2742672771777833
Distribution shift (KS test),0.007680594657214149,0.046711830959924996,0.5,0.474025974025974
