variable,colombia_cocoa_price_cop_kg,world_cocoa_price_usd_mt,eu_hicp_chocolate_index,cop_usd_exchange_rate,brent_oil_usd_bbl
colombia_cocoa_price_cop_kg,1.0,0.9608404051900086,0.7348343472160058,-0.07470577035439321,-0.4534480957485445
world_cocoa_price_usd_mt,0.9608404051900086,1.0,0.7918280148097306,-0.1517797853388871,-0.49044739060492765
eu_hicp_chocolate_index,0.7348343472160058,0.7918280148097306,1.0,-0.09765446376160453,-0.6679920828588586
cop_usd_exchange_rate,-0.07470577035439321,-0.1517797853388871,-0.09765446376160453,1.0,0.004456738776327498
brent_oil_usd_bbl,-0.4534480957485445,-0.49044739060492765,-0.6679920828588586,0.004456738776327498,1.0
