chapter,model_id,sample_variant,dependent_variable,specification,parameter,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
core_transmission,core_domestic_returns,imputed_shared_window,dlog_colombia_cocoa_price_cop_kg,dlog_domestic ~ dlog_world + dlog_fx + dlog_brent,const,0.0013803862876039727,0.008934709026331724,0.15449706124013649,0.8772178281915799,-0.01613132161635114,0.018892094191559086
core_transmission,core_domestic_returns,imputed_shared_window,dlog_colombia_cocoa_price_cop_kg,dlog_domestic ~ dlog_world + dlog_fx + dlog_brent,dlog_world_cocoa_price_usd_mt,0.7957009138069701,0.17973868967564488,4.426987396218845,9.555831367842073e-06,0.44341955541428485,1.1479822721996553
core_transmission,core_domestic_returns,imputed_shared_window,dlog_colombia_cocoa_price_cop_kg,dlog_domestic ~ dlog_world + dlog_fx + dlog_brent,dlog_cop_usd_exchange_rate,0.21762365224094737,0.2042706364856921,1.0653692375222543,0.2867088719901739,-0.18273943837008266,0.6179867428519774
core_transmission,core_domestic_returns,imputed_shared_window,dlog_colombia_cocoa_price_cop_kg,dlog_domestic ~ dlog_world + dlog_fx + dlog_brent,dlog_brent_oil_usd_bbl,0.029216032675484255,0.06737395320630347,0.433639875428162,0.6645499736100418,-0.10283448910495746,0.16126655445592597
