comparison,core_adj_r_squared,weather_adj_r_squared,delta_adj_r_squared,core_aic,weather_aic,delta_aic
long_run_domestic_levels,0.9646327321941147,0.9663762782016054,0.001743546007490715,-91.8974235173257,-91.92531661327081,-0.02789309594510314
short_run_domestic_returns,0.5812447584313711,0.5951429725883288,0.013898214156957689,-124.71002493562352,-123.821163972949,0.8888609626745279
