variable,colombia_cocoa_price_cop_kg,world_cocoa_price_usd_mt,eu_hicp_chocolate_index,cop_usd_exchange_rate,brent_oil_usd_bbl,nasa_precipitation_mm_day,nasa_temperature_c,nasa_temperature_max_c,nasa_temperature_min_c,nasa_relative_humidity_pct,nasa_wind_speed_ms,nasa_surface_solar_radiation_mj_m2_day
colombia_cocoa_price_cop_kg,1.0,0.9619439903398068,0.761174949173848,-0.07600605424255905,-0.4646082673431757,0.16940390268662647,-0.12107608411016121,-0.20389565973153526,0.03253918665561638,0.31591021160430827,0.013809393914844668,-0.03622424955064932
world_cocoa_price_usd_mt,0.9619439903398068,1.0,0.8082245260754927,-0.14620941483127362,-0.49249178723747367,0.11843101954779384,-0.057293474136951864,-0.12656665348030913,0.07317346541537088,0.24335502025017972,0.013279120807072671,-0.07676423293636228
eu_hicp_chocolate_index,0.761174949173848,0.8082245260754927,1.0,-0.05693808886537691,-0.649106114618258,0.2256590941152397,-0.293566604926119,-0.3749456596063158,-0.010179886738078719,0.43382714534664024,0.1142943118936605,-0.07218946590189777
cop_usd_exchange_rate,-0.07600605424255905,-0.14620941483127362,-0.05693808886537691,1.0,-0.0328218326558915,0.03402648916322861,-0.559983472939384,-0.49870942348592745,-0.5779919691284446,0.42692556833995887,0.4945365573013608,-0.08813867221754365
brent_oil_usd_bbl,-0.4646082673431757,-0.49249178723747367,-0.649106114618258,-0.0328218326558915,1.0,0.2036650637545679,-0.09162773061885977,-0.0373691347571455,-0.13351953176537212,0.05368106488439714,0.15161865403610492,-0.07633244920677557
nasa_precipitation_mm_day,0.16940390268662647,0.11843101954779384,0.2256590941152397,0.03402648916322861,0.2036650637545679,1.0,-0.5737687190680987,-0.5601846178099276,-0.17836166650933258,0.6497658967544385,0.04374572891173597,-0.40099206123136744
nasa_temperature_c,-0.12107608411016121,-0.057293474136951864,-0.293566604926119,-0.559983472939384,-0.09162773061885977,-0.5737687190680987,1.0,0.9576517329266822,0.6579800613736096,-0.9306549318961675,-0.5346165344520747,0.36241874260611195
nasa_temperature_max_c,-0.20389565973153526,-0.12656665348030913,-0.3749456596063158,-0.49870942348592745,-0.0373691347571455,-0.5601846178099276,0.9576517329266822,1.0,0.5258022325947896,-0.9436321839653096,-0.5317592180375439,0.22460310297464636
nasa_temperature_min_c,0.03253918665561638,0.07317346541537088,-0.010179886738078719,-0.5779919691284446,-0.13351953176537212,-0.17836166650933258,0.6579800613736096,0.5258022325947896,1.0,-0.4460844566164611,-0.6002895719273154,0.21468080774863446
nasa_relative_humidity_pct,0.31591021160430827,0.24335502025017972,0.43382714534664024,0.42692556833995887,0.05368106488439714,0.6497658967544385,-0.9306549318961675,-0.9436321839653096,-0.4460844566164611,1.0,0.4534479308002697,-0.3201503047756166
nasa_wind_speed_ms,0.013809393914844668,0.013279120807072671,0.1142943118936605,0.4945365573013608,0.15161865403610492,0.04374572891173597,-0.5346165344520747,-0.5317592180375439,-0.6002895719273154,0.4534479308002697,1.0,0.0556873812044222
nasa_surface_solar_radiation_mj_m2_day,-0.03622424955064932,-0.07676423293636228,-0.07218946590189777,-0.08813867221754365,-0.07633244920677557,-0.40099206123136744,0.36241874260611195,0.22460310297464636,0.21468080774863446,-0.3201503047756166,0.0556873812044222,1.0
