variable,observations,mean_return,std_dev,annualized_volatility,mean_abs_return,max_abs_return,min_return,max_return,rolling_volatility_mean,rolling_volatility_max,series_form,base_variable,label,unit,source_block
nasa_precipitation_mm_day_log_return,52.0,0.08513155097045526,0.8965406865526034,3.105708040323585,0.6729216504835863,1.845826690498331,-1.6253687345062946,1.845826690498331,0.8933684797230497,1.1850183048811294,log_return,nasa_precipitation_mm_day,NASA precipitation,mm/day,climate_extension
nasa_temperature_c_log_return,52.0,-0.00300635008915637,0.02946434380967561,0.10206748098007137,0.021559077948151335,0.07725427784308675,-0.0697133326132162,0.07725427784308675,0.029684571010261226,0.04401185855949931,log_return,nasa_temperature_c,NASA air temperature,degC,climate_extension
nasa_temperature_max_c_log_return,52.0,-0.005172018338347995,0.04400752437752792,0.15244653627440857,0.02813324790139425,0.187069084053668,-0.187069084053668,0.1372958498799652,0.042342653814993116,0.07769603939004285,log_return,nasa_temperature_max_c,NASA max air temperature,degC,climate_extension
nasa_temperature_min_c_log_return,52.0,-0.0016221469728054773,0.03620844213411549,0.1254297228784114,0.02865388420539298,0.10389627566482774,-0.08015532662742536,0.10389627566482774,0.03453604244271881,0.05248213274573141,log_return,nasa_temperature_min_c,NASA min air temperature,degC,climate_extension
nasa_relative_humidity_pct_log_return,52.0,0.008245441155657661,0.07204202278819358,0.24956088749837227,0.04375807908108302,0.26862406581599774,-0.26862406581599774,0.17857872115381687,0.06920695746775983,0.12628421448117608,log_return,nasa_relative_humidity_pct,NASA relative humidity,%,climate_extension
nasa_wind_speed_ms_log_return,52.0,0.011064695094299276,0.10023347841109659,0.3472189544547549,0.07242379618108082,0.22314355131420976,-0.2231435513142097,0.22314355131420976,0.10163965405421703,0.1214969322711237,log_return,nasa_wind_speed_ms,NASA wind speed,m/s,climate_extension
nasa_surface_solar_radiation_mj_m2_day_log_return,52.0,-0.00039645653580679547,0.08182198636575248,0.2834396751233825,0.06302732382989654,0.17613750893827912,-0.16904886091236884,0.17613750893827912,0.0814668367999276,0.10546774719779656,log_return,nasa_surface_solar_radiation_mj_m2_day,NASA surface solar radiation,MJ/m^2/day,climate_extension
