variable,count,mean,std,min,25%,50%,75%,max
colombia_cocoa_price_cop_kg,52.0,17209.348637820513,9211.80670605213,7926.075,8879.2125,12428.546999999999,26367.01875,34395.325
world_cocoa_price_usd_mt,52.0,4903.40326923077,2670.4040612198182,2239.13,2505.31,3619.18,7160.2425,10745.11
eu_hicp_chocolate_index,52.0,128.1505769230769,19.285385751449258,104.25,111.905,125.095,140.85,164.99
cop_usd_exchange_rate,52.0,4151.485876966471,303.6212720301422,3773.384193548387,3926.874677419355,4056.4790322580643,4311.292903225806,4926.660666666667
brent_oil_usd_bbl,52.0,82.89461538461539,13.382136243418154,62.54,74.30499999999999,80.985,87.3225,122.71
