variable,colombia_cocoa_price_cop_kg_log_return,world_cocoa_price_usd_mt_log_return,eu_hicp_chocolate_index_log_return,cop_usd_exchange_rate_log_return,brent_oil_usd_bbl_log_return
colombia_cocoa_price_cop_kg_log_return,1.0,0.7675114955070799,-0.039691074486244086,-0.007732392340869011,0.09175121398645143
world_cocoa_price_usd_mt_log_return,0.7675114955070799,1.0,-0.1624785874622275,-0.08524391745436351,0.13097839863198332
eu_hicp_chocolate_index_log_return,-0.039691074486244086,-0.1624785874622275,1.0,0.047361723271333575,-0.10014482336345769
cop_usd_exchange_rate_log_return,-0.007732392340869011,-0.08524391745436351,0.047361723271333575,1.0,-0.19517416196715126
brent_oil_usd_bbl_log_return,0.09175121398645143,0.13097839863198332,-0.10014482336345769,-0.19517416196715126,1.0
