signal,signal_type,label,peak_month,return_nobs,return_adj_r2,return_aic,return_signal_coef,return_signal_p,return_world_coef,return_world_p,volatility_nobs,volatility_adj_r2,volatility_aic,volatility_signal_coef,volatility_signal_p,volatility_world_coef,volatility_world_p
disaster_pressure,Composite,PCA disaster pressure,2022-10-01,34.0,0.6328935164619683,-88.63515230839656,-0.003742816550777968,0.5617707508996554,0.8417599491363194,0.00014898187786683794,29.0,0.9317909849082783,-173.14160471349535,-0.0019020029322389409,0.26424975346235546,1.0920550425773021,2.4239739121522245e-70
hydrometeorological_events,Direct,Hydrometeorological events,2022-10-01,34.0,0.6525263089636637,-90.50389427302923,-0.014622958052477061,0.08340430768318814,0.8088203351360517,0.00011160858256718687,29.0,0.9352376751761631,-174.64533344771726,-0.0031262405215421417,0.07383932297041806,1.093410469371,2.6935283098063247e-77
geophysical_events,Direct,Geophysical events,2022-11-01,34.0,0.6332205331738112,-88.66545284469385,0.004135137584469939,0.6131283977533322,0.8620509615888102,0.00012553976621431688,29.0,0.9316643011531984,-173.08779333046246,0.0018438455442649848,0.2857518248281943,1.0859126491675035,4.737379690181635e-79
total_events,Direct,Total recorded events,2024-01-01,34.0,0.6319501803714922,-88.5478961846539,-0.0017709401431884454,0.8228511895046831,0.8548700943788803,0.00010367087267565574,29.0,0.9324801890065455,-173.43611975809253,-0.0022030763476060798,0.13952702376416623,1.0928907698388428,6.466909747871091e-69
