sample_name,rows,start_date,end_date,variables
balanced_non_imputed,52,2021-08-01,2025-12-01,"colombia_cocoa_price_cop_kg, world_cocoa_price_usd_mt, eu_hicp_chocolate_index, cop_usd_exchange_rate, brent_oil_usd_bbl"
imputed_shared_window,53,2021-08-01,2025-12-01,"colombia_cocoa_price_cop_kg, world_cocoa_price_usd_mt, eu_hicp_chocolate_index, cop_usd_exchange_rate, brent_oil_usd_bbl"
