variable,colombia_cocoa_price_cop_kg,world_cocoa_price_usd_mt,eu_hicp_chocolate_index,cop_usd_exchange_rate,brent_oil_usd_bbl
colombia_cocoa_price_cop_kg,52,52,52,52,52
world_cocoa_price_usd_mt,52,53,53,53,53
eu_hicp_chocolate_index,52,53,53,53,53
cop_usd_exchange_rate,52,53,53,53,53
brent_oil_usd_bbl,52,53,53,53,53
