variable,count,mean,std,min,25%,50%,75%,max,missing_observations,skewness,kurtosis,iqr,coefficient_of_variation,series_form,base_variable
colombia_cocoa_price_cop_kg,53.0,17334.748640292742,9168.366460639196,7926.075,8914.925,12536.694,25687.8,34395.325,0,0.6010285977067712,-1.2933077989475414,16772.875,0.5289010328842221,level,colombia_cocoa_price_cop_kg
world_cocoa_price_usd_mt,53.0,4943.435094339623,2660.6121691131843,2239.13,2512.31,3630.14,7089.17,10745.11,0,0.6009122991337824,-1.0473354498724858,4576.860000000001,0.5382112070531001,level,world_cocoa_price_usd_mt
eu_hicp_chocolate_index,53.0,128.82867924528298,19.72674034807886,104.25,112.17,125.2,141.42,164.99,0,0.5185174503678078,-0.8770970369392979,29.249999999999986,0.15312382664825888,level,eu_hicp_chocolate_index
cop_usd_exchange_rate,53.0,4147.159954759556,302.3324204603234,3773.384193548387,3922.212,4047.4116129032254,4307.567419354838,4926.660666666667,0,0.9872693477011928,0.1321387619178509,385.35541935483843,0.07290107537649872,level,cop_usd_exchange_rate
brent_oil_usd_bbl,53.0,82.6133962264151,13.410039428525215,62.54,74.17,80.92,86.51,122.71,0,1.142231850956653,1.3693550802124386,12.340000000000003,0.162322819797565,level,brent_oil_usd_bbl
