variable,count,mean,std,min,25%,50%,75%,max
colombia_cocoa_price_cop_kg_log_return,50.0,0.021296533670035478,0.10005835243581905,-0.25955797888152576,-0.010879256549643026,0.018984291761895592,0.03972584933288635,0.48776987478691003
world_cocoa_price_usd_mt_log_return,50.0,0.021782220974533025,0.10390449489615151,-0.25628332305931156,-0.027396614555427135,0.02858716878115291,0.043839187156925204,0.3177182492976635
eu_hicp_chocolate_index_log_return,50.0,0.008835860573413887,0.008576683401553271,-0.004860572179416596,0.0011385577827019069,0.00929950851615943,0.014551336865400812,0.028738184656156476
cop_usd_exchange_rate_log_return,50.0,0.0003882439062999811,0.03208463718221896,-0.07565786164761938,-0.017841631788348425,-0.004539689477727348,0.015740347375921507,0.10542629179217715
brent_oil_usd_bbl_log_return,50.0,-0.001460745208036014,0.07578974406353907,-0.12200326060405361,-0.057305379221567816,-0.007497494186317473,0.051637781454588555,0.18825811991214964
