variable,colombia_cocoa_price_cop_kg_log_return,world_cocoa_price_usd_mt_log_return,eu_hicp_chocolate_index_log_return,cop_usd_exchange_rate_log_return,brent_oil_usd_bbl_log_return
colombia_cocoa_price_cop_kg_log_return,1.0,0.7758221007361059,-0.004925655182891799,0.020343778943662814,0.12244766251283527
world_cocoa_price_usd_mt_log_return,0.7758221007361059,1.0,-0.11707994773774351,-0.05097935858085543,0.14737830485136028
eu_hicp_chocolate_index_log_return,-0.004925655182891799,-0.11707994773774351,1.0,0.07366852462779848,-0.0941977646254233
cop_usd_exchange_rate_log_return,0.020343778943662814,-0.05097935858085543,0.07366852462779848,1.0,-0.1884484132453702
brent_oil_usd_bbl_log_return,0.12244766251283527,0.14737830485136028,-0.0941977646254233,-0.1884484132453702,1.0
