variable,count,mean,std,min,25%,50%,75%,max
nasa_precipitation_mm_day,312.0,4.585641025641026,2.945894451864649,0.0,2.2625,4.195,6.4425,15.19
nasa_temperature_c,312.0,25.81080128205128,1.3622077546450362,23.6,24.7875,25.42,26.5675,30.32
nasa_temperature_max_c,312.0,32.4536217948718,2.937400149426603,27.99,29.9675,31.655,34.8825,39.56
nasa_temperature_min_c,312.0,21.214551282051282,0.7855887201539224,18.5,20.697499999999998,21.185000000000002,21.71,23.39
nasa_relative_humidity_pct,312.0,82.17833333333334,8.951411021239515,48.89,77.4125,85.15,88.99000000000001,92.85
nasa_wind_speed_ms,312.0,0.12817307692307692,0.015556003364067334,0.09,0.12,0.13,0.14,0.18
nasa_surface_solar_radiation_mj_m2_day,311.0,18.254726688102892,1.0178277815041092,15.68,17.625,18.19,18.925,21.5
