variable,count,mean,std,min,25%,50%,75%,max
nasa_precipitation_mm_day,53.0,5.7256603773584915,3.5938620267135604,0.03,3.57,5.08,7.81,14.67
nasa_temperature_c,53.0,25.900377358490566,1.4050923351320135,24.03,25.04,25.4,26.21,29.58
nasa_temperature_max_c,53.0,31.930377358490563,3.042054570304135,28.67,30.01,30.79,31.94,39.15
nasa_temperature_min_c,53.0,21.546415094339622,0.866340877882867,19.22,21.03,21.64,22.12,23.39
nasa_relative_humidity_pct,53.0,84.18830188679244,9.546283154241651,57.07,83.33,88.42,90.18,92.85
nasa_wind_speed_ms,53.0,0.13339622641509433,0.016864094336604747,0.09,0.12,0.13,0.14,0.17
nasa_surface_solar_radiation_mj_m2_day,52.0,18.24423076923077,1.1859212455316406,15.68,17.4775,18.18,19.165,20.62
